----                	1    	N5                  	NaN       	TERM                	No 	N5                  	
----                	1    	ARITHMETICEXPR      	NaN       	N8                  	No 	ARITHMETICEXPR      	
----                	1    	EPS                 	NaN       	N4                  	Yes	                    	
----                	1    	N4                  	NaN       	ARITHMETICEXPR      	No 	N4                  	
----                	1    	EPS                 	NaN       	N8                  	Yes	                    	
----                	1    	N8                  	NaN       	N8                  	No 	N8                  	
----                	1    	ARITHMETICORBOOLEANEXPR	NaN       	ITERATIVESTMT       	No 	ARITHMETICORBOOLEANEXPR	
----                	1    	EPS                 	NaN       	N7                  	Yes	                    	
----                	1    	N7                  	NaN       	ARITHMETICORBOOLEANEXPR	No 	N7                  	
)                   	50   	BC                  	NaN       	ITERATIVESTMT       	Yes	                    	
start               	51   	START               	NaN       	ITERATIVESTMT       	Yes	                    	
get_value           	52   	GET_VALUE           	NaN       	IOSTMT              	Yes	                    	
----                	1    	IOSTMT              	NaN       	STATEMENT           	No 	IOSTMT              	
(                   	52   	BO                  	NaN       	IOSTMT              	Yes	                    	
tempvar             	52   	ID                  	NaN       	IOSTMT              	Yes	                    	
)                   	52   	BC                  	NaN       	IOSTMT              	Yes	                    	
;                   	52   	SEMICOL             	NaN       	IOSTMT              	Yes	                    	
----                	1    	STATEMENT           	NaN       	STATEMENTS          	No 	STATEMENT           	
----                	1    	STATEMENTS          	NaN       	ITERATIVESTMT       	No 	STATEMENTS          	
arr1                	53   	ID                  	NaN       	ASSIGNMENTSTMT      	Yes	                    	
----                	1    	ASSIGNMENTSTMT      	NaN       	SIMPLESTMT          	No 	ASSIGNMENTSTMT      	
[                   	53   	SQBO                	NaN       	LVALUEARRSTMT       	Yes	                    	
----                	1    	LVALUEARRSTMT       	NaN       	WHICHSTMT           	No 	LVALUEARRSTMT       	
i                   	53   	ID                  	NaN       	INDEX               	Yes	                    	
----                	1    	INDEX               	NaN       	LVALUEARRSTMT       	No 	INDEX               	
]                   	53   	SQBC                	NaN       	LVALUEARRSTMT       	Yes	                    	
:=                  	53   	ASSIGNOP            	NaN       	LVALUEARRSTMT       	Yes	                    	
----                	1    	EXPRESSION          	NaN       	LVALUEARRSTMT       	Yes	                    	
